title,text,subject,date
Korban Meteor Jatuh di Cirebon,Video aslinya adalah dokumentasi siswa SMP Islam Sultan Fattah Salatiga saat momen menuliskan sosok orangtua pada September 2024.,News,16-Oct-25
Susi Pudjiastuti Gaungkan Pencopotan Puan dari Kursi DPR RI,"Tidak ditemukan informasi kredibel yang membenarkan klaim. Faktanya, Susi Pudjiastuti meminta Puan Maharani untuk memecat anggota dewan yang tidak memiliki empati kepada rakyat.",News,15-Oct-25
"Menkeu Purbaya Diteror, Rumahnya Kini Dijaga Provos TNI",Tidak ditemukan informasi kredibel yang membenarkan klaim.,News,15-Oct-25
Komjen Rudy Resmi Gantikan Kapolri Listyo Sigit,"Faktanya, Jenderal Listyo Sigit Prabowo sampai saat ini masih menjabat sebagai Kapolri.",News,15-Oct-25
Puan Maharani Izinkan Israel Tampil di Kejuaraan Senam Artistik 2025 di Jakarta,Tidak terdapat informasi atau pemberitaan kredibel yang membenarkan klaim.,News,15-Oct-25
"Laga Indonesia Vs Iraq Resmi Diulang, Presiden Prabowo Temui Presiden FIFA","Tidak ada informasi kredibel yang membenarkan klaim, pertemuan Prabowo dengan Presiden FIFA tersebut merupakan video kunjungan di New York, Amerika Serikat, pada Rabu (24/9/2025) membahas perkembangan pesat sepak bola Indonesia, sekaligus memperkuat komitmen kerja sama antara Indonesia dan FIFA.",News,15-Oct-25
Purbaya Menyebut Harga Pertalite Harusnya di Rp5.400 per Liter dan LPG 3 Kg di Rp14.700 per Tabung,"Faktanya, Menteri Keuangan Purbaya mengatakan harga BBM Pertalite harusnya di Rp11,700 per liter, sedangkan LPG 3 kg di Rp42.750 per tabung jika tidak diberi subsidi.",News,15-Oct-25
Shin Tae Yong ke Arab Saudi untuk Dampingi Kluivert,Konteks asli foto adalah momen keberangkatan Timnas Indonesia (di bawah arahan Shin Tae-yong) ke Arab Saudi pada September 2024.,News,15-Oct-25
Prabowo Setuju Berhentikan Program Makan Bergizi Gratis (MBG),"Tidak ada bukti kredibel yang membenarkan klaim. Namun, anggaran MBG terancam dipangkas bila tidak terserap optimal.",News,15-Oct-25
Video Detik-detik Ngeri Ambruknya Bangunan Ponpes Al Khoziny,"Faktanya, video yang disebarkan dibuat menggunakan PixVerse, sebuah platform generator/pembuat video yang menggunakan teknologi AI (Artificial Intelligence).",News,14-Oct-25
Prabowo Resmi Pecat Kluivert dan Erick Thohir,"Tidak terdapat informasi kredibel yang membenarkan klaim, keputusan pemecatan ketua PSSI bukan kewenangan tunggal publik atau pemerintah, melainkan harus melalui mekanisme internal PSSI, khususnya forum seperti Exco dan kongres anggota dengan prosedur sesuai AD/ART.",News,14-Oct-25
Penemuan Meteor Jatuh di Majalengka,"Faktanya, video tersebut merupakan hasil rekayasa kecerdasan buatan (AI). Peneliti Pusat Riset Antariksa BRIN Thomas Djamaludin memperkirakan meteor tersebut berukuran cukup besar sehingga terlihat di sejumlah wilayah dan ia memprediksi meteor tersebut jatuh di Laut Jawa.",News,14-Oct-25
Tautan Pendaftaran Kartu Prakerja dan Insentif Jutaan Rupiah,"Pemerintah sampai saat ini belum membuka program Prakerja 2025. Terakhir, pendaftaran Prakerja dibuka pada Agustus 2024.",News,14-Oct-25
Indonesia Hanya Kirim 12 Atlet ke SEA Games 2025,"Faktanya, Menpora Erick Thohir menyampaikan Indonesia kemungkinan hanya mengirim 120 atlet bukan 12 atlet seperti dalam klaim.",News,14-Oct-25
Menteri Keuangan Purbaya Umumkan Layanan Pinjaman Online Koperasi Merah Putih,Faktanya Menteri Keuangan Purbaya tidak pernah menyebut bahwa Koperasi Desa Merah Putih menyediakan layanan pinjaman online.,News,14-Oct-25
Tautan Pendaftaran Bantuan Tunai untuk Pemilik Gas LPG 3 Kgù,Tidak ditemukan sumber kredibel yang membenarkan klaim. Tautan meminta data pribadi dan tidak mengarah ke laman resmi.,News,14-Oct-25
Video Ashanty Bagi-Bagi Uangù,"Video yang beredar adalah hasil rekayasa AI, probabilitas atau kemungkinannya mencapai 99,8 persen.",News,14-Oct-25
Prabowo Beri Bantuan Token Listrik pada Bulan Oktober 2025,"Faktanya, pernyataan tersebut tidak pernah diungkapkan oleh Presiden Prabowo.",News,13-Oct-25
Megawati ke Menkeu Purbaya: Jangan Merasa Lebih Pintar dari Semua Pejabat,Potret Megawati dan Menkeu Purbaya dalam konten yang beredar berasal dari dua momen yang tak berkaitan. Tidak ditemukan informasi kredibel yang membenarkan klaim.,News,13-Oct-25
Prabowo Panggil Megawati sebagai Saksi Kasus Korupsi Indosat,Tidak ditemukan informasi kredibel yang membenarkan klaim.,News,13-Oct-25
Video Menkeu Purbaya Promosikan Platform Investasiù,"Video yang beredar merupakan hasil rekayasa AI, kemungkinan atau probabilitasnya mencapai 95%. Konteks asli video adalah momen pidato perdana Purbaya sebagai Menteri Keuangan.",News,13-Oct-25
Bos Sampoerna Minta Masyarakat untuk Berhenti Beli Rokok Ilegal karena Membahayakan Kesehatan,Presiden Direktur HM Sampoerna Ivan Cahyadi dalam LPS Financial Festival 2025 meminta masyarakat agar berhenti membeli rokok ilegal yang tidak berkontribusi terhadap pemerintah dan bangsa di tengah situasi yang penuh ketidakpastian. Bukan karena membahayakan kesehatan.,News,13-Oct-25
Merah Menyala Raja Ampat Akibat Tambang,"Faktanya, lokasi dalam klaim yang beredar adalah di Pulau Hormuz, Teluk Persia, Iran atau yang dikenal dengan sebutan Pantai Merah atau Red Beach. Adapun penyebab daratan di Pulau Hormuz berwarna merah adalah karena tanah mereka kaya akan oksida besi.",News,11-Oct-25
"Elon Musk Luncurkan Tesla Pi Phone, Gratis Internet Seumur Hidup","Walaupun CEO Tesla Elon Musk telah mengisyaratkan bahwa produsen mobil listrik itu mungkin akan memproduksi telepon, tetapi perusahaan tersebut belum pernah mengumumkannya secara resmi.",News,10-Oct-25
Pendaftaran Dana Bantuan DAP 2025 Untuk Umat Kristen,Dirjen Bimas Kristen menegaskan bahwa informasi tersebut adalah hoaks.,News,10-Oct-25
"Koki Masuk ke Dalam Mesin Giling Daging, Tubuhnya Dibuat Menjadi Lauk MBG",Tidak ditemukan informasi kredibel yang memberitakan peristiwa tersebut.,News,10-Oct-25
"Warga Cirebon Heboh dengan Penampakan Cahaya Misterius di Langit, Diduga Meteor Jatuh Dekat Tol Ciperna","Faktanya meteor tidak jatuh di dekat jalan Tol Ciperna, melainkan di perairan Laut Jawa setelah melintasi langit Cirebon.",News,10-Oct-25
Tampilan Windows 12,"Windows 12ù pada unggahan dibuat oleh akun X @ByDrexelù, seorang desainer UI/UX yang tidak berafiliasi dengan sistem operasi Windows.",News,10-Oct-25
Menkeu Purbaya Tarik Anggaran Makan Bergizi Gratis,"Faktanya, anggaran tersebut hanya akan dialihkan jika program MBG tidak terserap secara optimal.",News,10-Oct-25
Daun Oregano Mampu Sembukan Penyakit Mata,Tidak ada bukti klinis yang membenarkan klaim.,News,09-Oct-25
Pemerintah Resmi Hapus Pajak untuk Gaji di bawah 10 Juta,"Mengacu pada Peraturan Menteri Keuangan (PMK) no 10 Tahun 2025 hanya sektor padat karya (industri alas kaki, tekstil dan pakaian jadi, furnitur, kulit dan produk dari kulit) serta perluasan sektor yang baru yakni pariwisata. di luar sektor tersebut tidak mendapatkan insentif pembebasan Pajak Penghasilan (PPh 21) DTP.",News,09-Oct-25
Tautan Pendaftaran Program KUR Nol Persen dari Kementerian Keuangan,Tidak ditemukan pengumuman resmi dari Kementerian Keuangan mengenai KUR nol persen tahun 2025.,News,09-Oct-25
Tangkapan Layar Artikel CNN Indonesia Luhut Binsar Panjaitan: Jika Jokowi Jadi Presiden Lagi 2029 Saya Yakin Ekonomi Indonesia Melebihi Amerikaù,"Faktanya, judul artikel yang benar adalah Respons Luhut soal AEI Sebut Ekonomi Indonesia Dalam Kondisi Daruratù.",News,08-Oct-25
Korban Keracunan MBG Tanggung Sendiri Biaya Pengobatan,"Faktanya, Pemerintah melalui BGN pastikan tanggung seluruh biaya pengobatan korban keracunan.",News,08-Oct-25
Hujan Api Terjadi di Kamboja,"Faktanya video dalam klaim merupakan video ratusan drone malfungsi yang berjatuhan seperti hujan api saat festival di tepi sungai Liuyang, Hunan, Tiongkok. Bukan hujan api yang terjadi di Kamboja.",News,08-Oct-25
Pilot Amerika Menolak Terbangkan Pesawat Bersenjata ke Israel,"Perempuan dalam video bukanlah pilot, tetapi veteran militer AS. Ia tidak menolak menerbangkan pesawat bersenjata, melainkan menginterupsi sidang Senat AS untuk memprotes keterlibatan negaranya dalam aksi genosida di Gaza.",News,08-Oct-25
Elon Musk Tewas dalam Insiden Kebakaran di Burj Khalifa,"Tidak ditemukan informasi kredibel yang membenarkan klaim. Elon Musk masih aktif dalam media sosial X dan video kebakaran Burj Khalifa dalam klaim kemungkinan besar hasil generate AI dengan Fake Probability 94,6%.",News,08-Oct-25
Prabowo Marah Besar atas Kebijakan Pelat Nomor Kendaraan di Sumut,Tidak ditemukan informasi kredibel yang membenarkan klaim.,News,08-Oct-25
DPR Resmi Dibubarkan,Tidak ditemukan informasi kredibel yang membenarkan klaim.,News,08-Oct-25
Prabowo Tantang Malaysia Perang karena Rebut Pulau Ligitan dan Sipadan,"Faktanya, pada tahun 2002 Mahkamah Internasional (ICJ) telah memutuskan Pulau Sipadan dan Ligitan menjadi milik Malaysia. Tidak ditemukan informasi kredibel yang membenarkan klaim.",News,08-Oct-25
Puan Maharani Dijemput Paksa KPK,Tidak ditemukan informasi kredibel yang membenarkan klaim.,News,08-Oct-25
Kapal Bantuan Sudah Tiba di Gaza,"Faktanya, semua kapal rombongan Global Sumud Flotilla ditahan pihak Israel, dan video dalam klaim merupakan warga Tunisia tumpah ruah di pesisir pantai Sidi Bou Said, mengibarkan bendera Tunisia dan Palestina untuk menyambut kedatangan Global Sumud Flotilla.",News,08-Oct-25
Penyumbatan Usus oleh Cacing karena Sering Makan Mi Instan,"Infeksi cacing tidak berasal dari mi instan, melainkan dari telur atau larva yang masuk ke tubuh.",News,07-Oct-25
Jurnalis CNN Dapat Hadiah Supercar dari Prabowo setelah Tanya Tentang MBG,"Kreator konten menyunting unggahan akun Facebook òBangka Pos dengan judul Sosok Diana Valencia Gunawan, Jurnalis CNN yang Kartu Persnya Dicabut Istana Kepresidenanù yang diunggah pada Senin (29/9/2025).",News,07-Oct-25
TNI Akan Bergerak ke Gaza Hari Ini,"TNI dikirim untuk misi kemanusian sejak 17 Agustus hingga 9 September 2025 untuk menyalurkan bantuan makanan dengan pesawat Hercules C-130J TNI AU dan tidak ada kaitannya dengan Sumud Flotilla. Video dalam klaim merupakan gambar dengan hasil Generate AI dengan Fake Probability 99,9%",News,07-Oct-25
Plat BL Aceh Dirazia di Sumut karena Pelabuhan AcehìPenang Malaysia,Faktanya tidak ada informasi yang membenarkan klaim. Gubernur Sumut Bobby Nasution menjelaskan razia dilakukan dalam rangka meningkatkan pendapatan asli daerah (PAD) Sumut tanpa menambah beban pajak ke masyarakat.,News,07-Oct-25
Menteri Agama Resmi Membagikan Dana Hibah 250 Juta-1 Miliar,"Dalam situs resmi kementerian agama tidak ditemukan informasi tersebut, video klaim merupakan pertemuan menteri agama dengan dubes Arab Saudi terkait penguatan kerja sama dua negara, dari haji hingga pendidikan.",News,07-Oct-25
Video Warga Menjarah SPBU Pertamina,"Faktanya, video tersebut merupakan momen unjuk rasa di depan kantor PT Pertamina Patra Niaga TBBM Balongan, Indramayu untuk memprotes pengalihan bantuan susu pada Selasa (23/9/2025).",News,06-Oct-25
Judul Artikel Gelora Menkeu Purbaya Meminta Rakyat Menyumbang Bila Ingin Ekonomi Maju Lagiù,"Faktanya judul asli artikel tersebut adalah Menkeu Purbaya Minta Maaf, Akui Salah Ngomong Soal Tuntutan 17+8≥.",News,04-Oct-25
Gubernur Aceh Ancam Pulangkan Ribuan Alat Berat Sumut Imbas Razia Kendaraan Pelat BL,Konteks asli video adalah momen Gubernur Aceh Muzakir Manaf memperingatkan aktivitas tambang emas ilegal di kawasan hutan Aceh pada 25 September 2025. Peringatan ini disampaikan sebelum adanya razia kendaraan pelat BL.,News,03-Oct-25
Potret Kondisi Usai Bom Jet Tempur Israel Jatuh di Madinahù,Tidak ada rudal atau drone milik Israel yang jatuh di Madinah pada September 2025.,News,03-Oct-25
Nelayan Protes Larangan Pembelian BBM dengan Jeriken,Konteks asli video adalah momen protes nelayan di Indramayu yang membanting jeriken karena kesulitan mendapatkan solar bersubsidi pada Oktober 2023.,News,03-Oct-25
Upacara Hari Kesaktian Pancasila Kembali Digelar di Era Prabowo Usai 10 Tahun Vakum,Tidak ditemukan informasi kredibel yang membenarkan klaim.,News,03-Oct-25
Gubernur Aceh Memutus Hubungan Dagang dengan Medan,"Faktanya, pernyataan sekarang kita putuskan hubungan dengan Medanù adalah pendapat dari masyarakat yang berseliweran di media sosial.",News,03-Oct-25
Video Megawati Ngamuk karena Jadi Target Pemeriksaan KPKù,Konteks asli video adalah momen pidato Megawati Soekarnoputri dalam pengumuman bakal calon kepala daerah/wakil kepala daerah dari PDI Perjuangan. Tidak ditemukan informasi kredibel yang membenarkan klaim.,News,03-Oct-25
Sebelas Pelajar Meninggal Akibat MBG,"Faktanya, tidak ada satupun korban jiwa dalam insiden keracunan MBG di Kecamatan Cipongkor, Kabupaten Bandung Barat, Jawa Barat yang terjadi pada Rabu (24/9/2025).",News,03-Oct-25
"Presiden India Masuk Islam, Ribuan Patung Dewa Dihancurkan",Tidak ditemukan informasi kredibel yang membenarkan klaim. Droupadi Murmu (Presiden India) merupakan pengikut gerakan Brahma Kumaris yang setia dan pada Sabtu (20/9/2025) masih melakukan ritual Pind Daan.,News,03-Oct-25
Tautan Pendaftaran Lowongan Kerja Pendamping Lokal Desa,Kemendes PDTT menegaskan informasi rekrutmen yang beredar di media sosial adalah hoaks.,News,02-Oct-25
"Raffi Ahmad Ditangkap Polisi, Buntut Kasus Cuci Uang Rp3.000 T Rafael Alun","Konteks asli foto adalah momen Budi Hartono Linardi ditetapkan sebagai tersangka kasus dugaan korupsi impor besi atau baja, baja paduan, dan produk turunannya periode 2016î2021.",News,02-Oct-25
Prabowo Jadi Ketua Unity of Islamic States,Konteks asli konten adalah momen Presiden Prabowo dan Wapres Gibran menemui pemimpin Qatar pada Mei 2024. Tidak ditemukan informasi kredibel yang membenarkan klaim.,News,02-Oct-25
Ustaz Abdul Somad Bakal Diangkat Jadi Penasihat Polri,Konteks asli video adalah momen Ustaz Abdul Somad (UAS) menghadiri ramah tamah dan memberikan ceramah di Mabes Polri pada September 2025.,News,02-Oct-25
Presiden Israel Dilempari Telur Busuk saat Keluar dari Gedung PBB,Konteks asli video adalah momen politikus Inggris Nigel Farage disiram milkshake usai kampanye di Clacton-on-Sea.,News,02-Oct-25
Purbaya Sebut Rp58 T Anggaran MBG Hilang di Birokrasi dan Administrasi,Tidak ditemukan sumber valid yang membenarkan klaim. Pernyataan tentang Rp58 triliun dari total anggaran MBG yang seakanù menghilang di birokrasi dan administrasi merupakan opini Direktur Indonesian Society Network (ISN) yang dimuat kompas.com.,News,02-Oct-25
Prabowo Pecat Menkeu yang Baru Dilantik,"Sejak dilantik pada Senin (8/9/2025), Purbaya Yudhi Sadewa hingga saat ini masih menjadi menteri keuangan.",News,02-Oct-25
Video Eko Patrio Minta Maaf dan Mau Bagi-Bagi Uang di Laman Judiù,"Audio dari video yang beredar adalah hasil rekayasa AI, probabilitas atau kemungkinannya mencapai lebih dari 95%.",News,02-Oct-25
Video Demo Ojol Imbas Larangan Penggunaan BBM Subsidiù,Konteks asli video adalah momen demonstrasi pengemudi ojek online pada Agustus 2024 terkait potongan komisi.,News,02-Oct-25
Prabowo Bekukan PDI-Perjuangan,Tidak ditemukan informasi kredibel yang membenarkan klaim. Konteks asli konten adalah momen Presiden Prabowo menghadiri pertemuan daring pemimpin negara anggota BRICS pada September 2025.,News,01-Oct-25
Prabowo Copot Ratusan Orang Fraksi PDIP di DPR,Tidak ditemukan informasi kredibel yang membenarkan klaim.,News,01-Oct-25
Najwa Shihab Jadi Menteri Pemberdayaan Perempuan,"Audio konten yang beredar adalah hasil rekayasa AI. Selain itu, diketahui Arifatul Choiri Fauzi sampai saat ini masih menjabat sebagai Menteri Pemberdayaan Perempuan dan Perlindungan Anak (PPPA) sejak diumumkan Presiden Prabowo pada Oktober 2024.",News,30-Sep-25
Anies Baswedan Gabung ke Kabinet Merah Putih,Konteks asli video adalah momen Prabowo menggenggam lengan Anies usai menyampaikan pidato dalam sidang pleno penetapan Presiden dan Wakil Presiden Periode 2024-2029.,News,30-Sep-25
KTP-el Dipasang GPS untuk Pantau Keberadaan Masyarakat,Dirjen Dukcapil menegaskan chip dalam KTP-el berisi data kependudukan. Pakar Keamanan Siber memandang chip tersebut tidak bisa memancarkan sinyal jauh untuk melacak keberadaan pemiliknya.,News,30-Sep-25
"Jokowi Setuju RUU Perampasan Aset, Asalkan Tidak Menyasar Mantan Presiden","Kreator konten menyunting pemberitaan CNN Indonesia Jokowi Komentari Purbaya: Sangat Bagus, Beda Mazhab dengan Sri Mulyaniù yang tayang Jumat (12/9/2025).",News,30-Sep-25
Israel Ngambek dan Keluar dari Sidang PBB Ketika Hampir Semua Negara Sepakat Jika Palestina Merdeka,Faktanya Israel bukan keluar dari sidang PBB melainkan memang absen dengan alasan diselenggarakannya forum itu bertepatan dengan peringatan tahun baru Yahudi.,News,30-Sep-25
PLN Tawarkan Listrik Gratis Lewat Akun TikTok,TikTok pln_gratis35ù bukanlah media sosial resmi PLN. Tautan di bio akun tersebut juga tidak mengarah ke laman resmi.,News,30-Sep-25
Ojol Demo Kenaikan Pertalite,"Faktanya video dalam klaim merupakan video konvoi ojol memeriahkan HUT ke-80 Kemerdekaan Republik Indonesia, Minggu (17/8/2025). Bukan demo penolakan kenaikan pertalite.",News,30-Sep-25
Panglima NATO akan Buat Kerusuhan di Indonesia,"Konteks asli foto adalah momen Letnan Jenderal Alexus Grynkewich (Kepala Pusat Angkatan Udara AS) berbicara dalam konferensi pers di Kedutaan Besar AS di Abu Dhabi, Uni Emirat Arab. Tidak ada kaitannya dengan Indonesia.",News,30-Sep-25
Ojol Dilarang Gunakan Pertalite,"Kementerian ESDM menegaskan bahwa pengemudi ojek online (ojol) masih diperbolehkan menggunakan BBM jenis Pertalite, dan hingga saat ini belum ada kebijakan pelarangan.",News,30-Sep-25
Video Pengiriman 18.000 Personel TNI ke Aceh,"Faktanya, video tersebut adalah latihan Yonkav1 di Pusat Latihan Tempur Kodiklatad Baturaja, Sumatera Selatan.",News,30-Sep-25
Pom Bensin Shell Resmi Tutup dan Hengkang dari Indonesia pada 2026,"Faktanya, Shell tetap beroperasi di Indonesia. Namun per tahun 2026 akan dikelola oleh Citadel Pasific dan Sefas Group melalui perjanjian lisensi merek.",News,30-Sep-25
Menteri ESDM Bahlil Lahadalia Jadi Tersangka Kasus Korupsi Migas,Tidak ditemukan informasi kredibel yang membenarkan klaim.,News,29-Sep-25
Wapres Gibran Promosikan Program Motor Murah,"Konten yang beredar adalah hasil rekayasa AI, probabilitas atau kemungkinannya mencapai 98,1 persen.",News,29-Sep-25
Mobil Ahmad Sahroni Dikepung di Tengah Demo Mahasiswa,"Konten yang beredar merupakan hasil rekayasa AI, probabilitas atau kemungkinannya mencapai 99,9 persen.",News,29-Sep-25
Gatot Nurmantyo Resmi Jadi Menko Polkam,"Faktanya, Presiden Prabowo pada 17 September 2025 melantik Letnan Jenderal TNI (Purn) Djamari Chaniago sebagai Menteri Koordinator Bidang Politik dan Keamanan (Menko Polkam).",News,29-Sep-25
Prabowo Ungkap Gatot Nurmantyo dan Rocky Gerung Masuk Kabinet Merah Putih,Konteks asli video adalah momen Prabowo (kala itu calon presiden) mengungkap sejumlah nama yang akan masuk dalam susunan kabinetnya jika dirinya menang dalam Pemilihan Presiden 2019.,News,29-Sep-25
KPK Panggil Megawati Untuk Diperiksa,"Potret yang beredar adalah hasil rekayasa AI, probabilitas atau kemungkinannya mencapai 100 persen.",News,29-Sep-25
Tautan Pendaftaran Lowongan Kerja J&T Express,"Faktanya, rekrutmen J&T Express tidak melalui tautan tertentu. Pelamar yang ingin mendaftar dapat mengirimkan CV melalui email ke gje.recruitment@jet.co.id.",News,29-Sep-25
Potret Uang Lembaran Baru Rp300.000,Peruri (selaku pencetak uang rupiah) belum pernah mendapat permintaan dari Bank Indonesia untuk mencetak uang rupiah dengan nilai Rp300.000.,News,28-Sep-25
"Jokowi dan Luhut Terima Uang Rp4,5 T dari Nadiem Makarim","Kreator konten memanipulasi pemberitaan viva.co.id Dibawa ke Tahanan, Nadiem Makarim Titip Pesan Belasungkawa Buat Ojol Dilindas Rantisù.",News,28-Sep-25
Israel Minta Bantuan NATO untuk Hadapi Indonesia dan Rusia,Tidak ada sumber valid atau pemberitaan kredibel yang membenarkan klaim.,News,28-Sep-25
Prabowo Memilih Anies Baswedan Jadi Ketua KPK,"Konteks asli foto adalah momen Prabowo menyapa Anies usai memberikan pidato sebagai presiden terpilih dalam rapat pleno KPU pada Rabu (24/4/2024). Hingga saat ini, jabatan Ketua KPK masih ditempati oleh Setyo Budiyanto.",News,27-Sep-25
Tautan Bantuan Bibit Pohon Gratis dari Kemenhut,"Faktanya, masyarakat yang berminat harus mengajukan surat permohonan bibit ke Direktorat Penghijauan dan Perbenihan Tanaman Hutan (PPTH) atau datang langsung ke persemaian terdekat.",News,27-Sep-25
Pemerintah Resmi Turunkan Harga BBM RON 95 Jadi Rp7.800 per Liter,"Faktanya, berdasarkan penyesuaian harga 1 September 2025 harga Pertamax atau RON 95 sebesar Rp 12.200 per liter. Adapun, Pertamax Green atau RON 95 tetap Rp 13.000 per liter.",News,26-Sep-25
Salsa Erwina Gabung ke Kabinet Merah Putih,Tidak ditemukan informasi kredibel yang membenarkan klaim.,News,26-Sep-25
Massa Bakar Pom Bensin karena Kebijakan Pemerintah Motor Mati Pajak Tidak Boleh Isi Bensin,"Kebakaran tersebut terjadi di Jalan Teuku Umar, Desa Subulussalam Utara, Kecamatan Simpang Kiri, Kota Subulussalam, Aceh pada Kamis (10/10/2024), bukan karena dibakar masa.",News,26-Sep-25
Aturan Baru Pemerintah dan Pertamina Atur Jangka Waktu Pengisian BBM,Tidak ditemukan informasi dari sumber kredibel yang membenarkan klaim aturan baru terkait pembelian BBM berlaku nasional.,News,26-Sep-25
Gunung Guntur di Garut Meletus,"Tidak ditemukan informasi kredibel yang mendukung klaim, Gunung Guntur terakhir meletus pada tahun 1847.",News,25-Sep-25
Tangkapan Layar Artikel detikNews Anies Siap Menggantikan Prabowo Menjadi Presiden RI Jika Dalam Keadaan Daruratù,"Faktanya, judul artikel yang benar adalah Raih Kepercayaan Publik, Ini Peran Puspenkum Jaga Citra Kejaksaanù.",News,25-Sep-25
Video Polisi Halangi Ambulans Saat Demo di Jakarta,"Bukan pada saat demonstrasi di DPR RI, melainkan pada saat demo tolak UU TNI pada 27 Maret 2025.",News,24-Sep-25
Trump Sakit Misterius Setelah Tolak Palestina Merdeka di PBB,Tidak ditemukan informasi kredibel yang membenarkan klaim. Trump masih menghadiri dan memberikan pidato pada sidang umum PBB Selasa (23/09/2025).,News,24-Sep-25
"Benjamin Netanyahu Siap Perangi Malaysia, Indonesia dan Pakistan",Tidak ditemukan informasi kredibel yang membenarkan klaim. Video tersebut memiliki fake probability 100% kemiripan dengan video buatan AI. sehingga kemungkinan besar video tersebut merupakan hasil dari generate-AI.,News,24-Sep-25
"Menkeu Purbaya: Korupsi 3.000 T Bisa, Bayar Utang 1.300 T Kok Tidak Bisaù",Tidak ditemukan bukti video atau kutipan resmi dari media yang menyatakan Menkeu Purbaya pernah mengatakan kalimat tersebut.,News,24-Sep-25
Anggota DPR Gebrak Meja saat Sidang Menolak RUU Perampasan Aset,"Faktanya, video tersebut sudah diunggah pada tahun 2016 tentang kericuhan yang terjadi saat Paripurna DPD.",News,24-Sep-25
Wakil Presiden Gibran Bagi-Bagi Bantuan Dana Puluhan Juta,"Video adalah hasil rekayasa AI, probabilitas atau kemungkinannya mencapai 86.8 persen.",News,24-Sep-25
Prabowo Pecat Menteri ESDM Bahlil Lahadalia,"Berdasarkan laman esdm.go.id milik Kementerian Energi dan Sumber Daya Mineral (ESDM), hingga saat ini Bahlil Lahadalia masih tercatat sebagai Menteri ESDM.",News,24-Sep-25
Raffi Ahmad Dijemput Paksa KPK,Konteks asli video adalah momen Raffi Ahmad menghadiri undangan podcast Strategi Nasional Pencegahan Korupsi (Stranas PK) bersama pimpinan KPK. Tidak ditemukan informasi kredibel yang membenarkan klaim.,News,24-Sep-25
Anggota DPR Dipecat Massal karena Mangkir dari Rapat Perampasan Aset,Tidak ditemukan informasi kredibel yang membenarkan klaim.,News,24-Sep-25
Luhut Dipecat dan Dipenjara,Tidak ditemukan informasi kredibel yang membenarkan klaim.,News,24-Sep-25
Prabowo Desak Erick Thohir Kembalikan STY Usai Timnas Gagal di Piala Asia,Tidak ditemukan informasi kredibel yang membenarkan klaim.,News,24-Sep-25
